City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
210,Vila,PT,2021-08-14 16:54:48,42.0304,-8.1588,82.71,41,94,7.11,overcast clouds
211,Nikolskoye,RU,2021-08-14 16:54:48,59.7035,30.7861,67.89,90,94,7.45,overcast clouds
212,Jiangyou,CN,2021-08-14 16:54:48,31.7667,104.7167,72.1,92,80,1.16,broken clouds
213,Rawson,AR,2021-08-14 16:54:49,-43.3002,-65.1023,55.47,56,55,11.14,broken clouds
214,Taoudenni,ML,2021-08-14 16:54:49,22.6783,-3.9836,114.08,6,30,12.39,scattered clouds
215,College,US,2021-08-14 16:54:50,64.8569,-147.8028,50.29,89,90,3.44,overcast clouds
216,Axim,GH,2021-08-14 16:54:50,4.8699,-2.2405,78.78,69,6,10.13,clear sky
217,Half Moon Bay,US,2021-08-14 16:54:50,37.4636,-122.4286,80.58,82,40,4.61,scattered clouds
218,Esperance,AU,2021-08-14 16:54:51,-33.8667,121.9,51.64,74,42,7.47,scattered clouds
219,Votkinsk,RU,2021-08-14 16:54:51,57.0486,53.9872,64.78,71,98,4.76,light rain
220,Birjand,IR,2021-08-14 16:54:51,32.8663,59.2211,81.07,16,0,13.8,clear sky
221,Castro,BR,2021-08-14 16:54:52,-24.7911,-50.0119,64.13,69,80,5.61,broken clouds
222,Gambela,ET,2021-08-14 16:54:52,8.25,34.5833,71.91,94,93,1.72,overcast clouds
223,Sorland,NO,2021-08-14 16:54:52,67.667,12.6934,52.05,76,12,24.0,few clouds
224,Shwebo,MM,2021-08-14 16:54:53,22.5667,95.7,77.45,87,98,7.7,overcast clouds
225,Nisia Floresta,BR,2021-08-14 16:54:53,-6.0911,-35.2086,88.61,44,23,15.88,few clouds
226,Sobolevo,RU,2021-08-14 16:54:53,54.4299,31.8996,68.76,63,91,6.91,overcast clouds
227,Evinayong,GQ,2021-08-14 16:54:54,1.4368,10.5512,73.74,80,87,3.22,overcast clouds
228,Kulachi,PK,2021-08-14 16:54:54,31.9286,70.4592,102.24,27,16,11.25,few clouds
229,Tezu,IN,2021-08-14 16:54:54,27.9167,96.1667,75.4,99,100,2.8,overcast clouds
230,Otane,NZ,2021-08-14 16:54:55,-39.8833,176.6333,35.38,92,4,2.48,clear sky
231,San Quintin,MX,2021-08-14 16:54:55,30.4833,-115.95,76.86,64,0,13.04,clear sky
232,Roros,NO,2021-08-14 16:54:55,62.5747,11.3842,48.04,87,90,4.61,light intensity shower rain
233,Buraydah,SA,2021-08-14 16:54:42,26.326,43.975,106.25,11,19,8.32,few clouds
